ID     | BKZ     | berufskundliche Gruppe  | Berufsbezeichnung
448    | 11113902 | A Techniker             | Techniker/in - Agrartechnik
7474   | 11183901 | A Sonst. kaufm. WB      | Fachkraft - EDV-gestützte Unternehmensführung
34990  | 11183908 | A Fachagrarwirte        | Fachagrarwirt/in - Erneuerbare Energien/Biomasse
273    | 11193900 | A Sonst. Meister        | Landwirtschaftsmeister/in
411    | 11193901 | A Betriebswirte (FS)    | Betriebswirt/in (Fachschule) - Agrarbetrieb
412    | 11193902 | A Wirtschafter          | Wirtschafter/in - Landwirtschaft
90071  | 11193915 | A Sonst. Meister        | Agrarservicemeister/in
130913 | 11193916 | A Sonst. Meister        | Pflanzentechnologiemeister/in
34992  | 11213904 | A Fachagrarwirte        | Fachagrarwirt/in - Klauenpflege
93272  | 11213905 | A Sonst. WB             | Klauenpfleger/in
312    | 11293900 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Rinderhaltung
318    | 11293901 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Schäferei
329    | 11293902 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Geflügelhaltung
360    | 11293904 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Schweinehaltung
368    | 11293905 | A Sonst. Meister        | Tierwirtschaftsmeister/in - Imkerei
14002  | 11333901 | A Sonst. WB             | Hufbeschlagschmied/in
128444 | 11393910 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Pferdehaltung und Service
128446 | 11393911 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Pferdezucht
128448 | 11393912 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Klassische Reitausbildung
128450 | 11393913 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Pferderennen
128452 | 11393914 | A Sonst. Meister        | Pferdewirtschaftsmeister/in - Spezialreitweisen
354    | 11493900 | A Sonst. Meister        | Fischwirtschaftsmeister/in - Fischhaltung und Fischzucht
385    | 11493901 | A Sonst. Meister        | Fischwirtschaftsmeister/in - Seen- und Flussfischerei
390    | 11493902 | A Sonst. Meister        | Fischwirtschaftsmeister/in - Kl. Hochsee- u. Küstenfischerei
547    | 11593900 | A Sonst. Meister        | Tierpflegemeister/in
13752  | 11603901 | A Techniker             | Techniker/in - Weinbau und Kellerwirtschaft
295    | 11693900 | A Sonst. Meister        | Winzermeister/in
457    | 11693901 | A Wirtschafter          | Wirtschafter/in - Weinbau
14056  | 11713901 | A Techniker             | Techniker/in - Forsttechnik
444    | 11723900 | A Techniker             | Techniker/in - Umwelt/Landschaft
15095  | 11723902 | A Sonst. WB             | Natur- und Landschaftspfleger/in
714    | 11793901 | A Sonst. Meister        | Revierjagdmeister/in
728    | 11793902 | A Sonst. Meister        | Forstwirtschaftsmeister/in
58473  | 12103906 | A Techniker             | Techniker/in - Gartenbau (ohne Schwerpunkt)
14565  | 12123901 | A Techniker             | Techniker/in - Gartenbau (Produktion und Vermarktung)
593    | 12143900 | A Fachagrarwirte        | Fachagrarwirt/in - Baumpflege/Bachelor Professional Baumpfl.
"660    | 12143903 | A Techniker             | Techniker/in - Gartenbau (Garten-, Landschaftsbau)"
8141   | 12143904 | A Fachagrarwirte        | Fachagrarwirt/in - Sport- und Golfplatzpflege
15569  | 12143905 | A Fachagrarwirte        | Fachagrarwirt/in - Head-Greenkeeper/in
580    | 12193900 | A Sonst. Meister        | Gärtnermeister/in - Garten- und Landschaftsbau
581    | 12193901 | A Sonst. Meister        | Gärtnermeister/in - Baumschule
582    | 12193902 | A Wirtschafter          | Wirtschafter/in - Gartenbau
602    | 12193903 | A Sonst. Meister        | Gärtnermeister/in - Zierpflanzenbau
603    | 12193904 | A Sonst. Meister        | Gärtnermeister/in - Staudengärtnerei
612    | 12193905 | A Sonst. Meister        | Gärtnermeister/in - Obstbau
613    | 12193906 | A Sonst. Meister        | Gärtnermeister/in - Gemüsebau
619    | 12193907 | A Sonst. Meister        | Gärtnermeister/in - Friedhofsgärtnerei
682    | 12203900 | A Gestalter             | Gestalter/in - Blumenkunst
681    | 12293900 | A Sonst. Meister        | Floristmeister/in
5727   | 21113900 | A Techniker             | Techniker/in - Bergbautechnik
5762   | 21113905 | A Techniker             | Techniker/in - Bohrtechnik
13824  | 21123901 | A Sonst. WB             | Sprengberechtigte/r
133532 | 21123903 | A Sonst. WB             | Kampfmittelbeseitiger/in
884    | 21233900 | A Restauratoren         | Restaurator/in - Steinm.-u. Steinbildh.hw./M. Prof. Restaur.
5981   | 21233901 | A Techniker             | Techniker/in - Steintechnik
864    | 21293900 | A Handwerksmeister      | Steinmetz- und Steinbildhauermeister/in
964    | 21293901 | A Handwerksmeister      | Werkstein- und Terrazzoherstellermeister/in
6140   | 21293902 | A Industriemeister      | Industriemeister/in - Naturwerkstein
6288   | 21293903 | A Industriemeister      | Industriemeister/in - Betonsteinindustrie
77368  | 21293914 | A Industriemeister      | Industriemeister/in - Kalk/Zement
134758 | 21293915 | A Industriemeister      | Industriemeister/in - Aufbereitungs- und Verfahrenstechnik
5983   | 21313901 | A Techniker             | Techniker/in - Glastechnik (Glashüttentechnik)
5986   | 21313903 | A Techniker             | Techniker/in - Glasbautechnik
134253 | 21313908 | A Techniker             | Techniker/in - Glastechnik (ohne Schwerpunkt)
5984   | 21323900 | A Techniker             | Techniker/in - Glastechnik (Optik)
1079   | 21393900 | A Handwerksmeister      | Glasbläser- und Glasapparatebauermeister/in
1117   | 21393901 | A Handwerksmeister      | Glasveredlermeister/in
1124   | 21393902 | A Handwerksmeister      | Feinoptikermeister/in
6132   | 21393903 | A Industriemeister      | Industriemeister/in - Glas
6208   | 21393904 | A Industriemeister      | Industriemeister/in - Optik
5980   | 21413900 | A Techniker             | Techniker/in - Keramiktechnik
6131   | 21493900 | A Industriemeister      | Industriemeister/in - Keramik
5485   | 22103900 | A Techniker             | Techniker/in - Maschinentechnik (Kunststoff-/Kautschuktech.)
5992   | 22103901 | A Techniker             | Techniker/in - Kunststoff- und Kautschuktechnik
1195   | 22193900 | A Handwerksmeister      | Mechanikermeister/in - Reifen- und Vulkanisationstechnik
6135   | 22193901 | A Industriemeister      | Industriemeister/in - Kunststoff und Kautschuk
5811   | 22203900 | A Techniker             | Techniker/in - Farb- u. Lacktechnik (Gestaltung)
5813   | 22203901 | A Techniker             | Techniker/in - Farb- u. Lacktechnik (ohne Schwerpunkt)
58499  | 22203905 | A Techniker             | Techniker/in - Farb- u. Lacktechnik (ind. Beschichtungst.)
5812   | 22293900 | A Sonst. kaufm. WB      | Betriebsmanager/in - Farbtechnik
6137   | 22293901 | A Industriemeister      | Industriemeister/in - Lack
5958   | 22303900 | A Techniker             | Techniker/in - Holztechnik (ohne Schwerpunkt)
123342 | 22303926 | A Techniker             | Techniker/in - Holztechnik (Modell- und Formenbau)
15036  | 22342906 | A Sonst. WB             | Bildeinrahmer/in
35219  | 22342922 | A Sonst. WB             | Kundenberater/in - Tischlerhandwerk
4507   | 22343900 | A Restauratoren         | Restaurator/in - Tischlerhandwerk/M. Prof. Restaurierung
5966   | 22343902 | A Techniker             | Techniker/in - Holztechnik (Möbelbau und Raumgestaltung)
14297  | 22343904 | A Handw. Restaurierungsarb. | Tischler/in - Restaurierungsarbeiten
15512  | 22343905 | A Restauratoren         | Restaurator/in - Möbel und Holzobjekte/B. Prof. Technik
1556   | 22393900 | A Handwerksmeister      | Bürsten- und Pinselmachermeister/in
1583   | 22393901 | A Handwerksmeister      | Korb- und Flechtwerkgestaltermeister/in
4471   | 22393902 | A Handwerksmeister      | Tischlermeister/in
4540   | 22393904 | A Handwerksmeister      | Böttchermeister/in
5969   | 22393905 | A Sonst. kaufm. WB      | Betriebsmanager/in - Bau- und Holztechnik
6260   | 22393906 | A Industriemeister      | Industriemeister/in - Holz
8016   | 22393910 | A Fachwirte             | Fachwirt/in - Holzindustrie und Holzhandel
35221  | 22393920 | A Sonst. WB             | Fertigungsplaner/in - Tischlerhandwerk
"135613 | 22393923 | A Sonst. Meister        | Meister/in - Möbel-, Küchen- und Umzugsservice"
5959   | 23113900 | A Techniker             | Techniker/in - Papiertechnik
14379  | 23123902 | A Techniker             | Techniker/in - Lebensmitteltechnik (Lebensmittelverpackung)
6264   | 23193900 | A Industriemeister      | Industriemeister/in - Papier- und Kunststoffverarbeitung
6265   | 23193901 | A Industriemeister      | Industriemeister/in - Papiererzeugung
14220  | 23213900 | A Sonst. WB             | Visuelle/r Designer/in digital und print
15504  | 23213901 | A Gestalter             | Gestalter/in - Werbe- und Mediengestaltung
15125  | 23223903 | A Sonst. WB             | Webdesigner/in
